date,weather,temperature_high,temperature_low
2019年04月08日,晴,32℃,19℃
2019年04月09日,雷阵雨,31℃,12℃
2019年04月10日,阴,14℃,10℃
2019年04月11日,小雨,12℃,7℃
2019年04月12日,晴,17℃,9℃
2019年04月13日,多云,21℃,14℃
2019年04月14日,阴,20℃,8℃
2019年04月15日,多云,20℃,11℃
2019年04月16日,阴,19℃,11℃
2019年04月17日,晴,25℃,14℃
2019年04月18日,多云,28℃,18℃
2019年04月19日,多云,28℃,19℃
2019年04月20日,小雨,25℃,19℃
2019年04月21日,小雨,27℃,20℃
2019年04月22日,小雨,26℃,21℃
2019年04月23日,小雨,28℃,21℃
2019年04月24日,小到中雨,27℃,20℃
2019年04月25日,小雨,24℃,16℃
2019年04月26日,阴,20℃,11℃
2019年04月27日,多云,20℃,14℃
2019年04月28日,小雨,22℃,15℃
2019年04月29日,中雨,27℃,15℃
2019年04月30日,小雨,18℃,15℃
2019年05月01日,多云,23℃,11℃
2019年05月02日,多云,22℃,10℃
2019年05月03日,晴,25℃,11℃
2019年05月04日,多云,26℃,12℃
2019年05月05日,晴,26℃,14℃
2019年05月06日,多云,21℃,13℃
2019年05月07日,晴,18℃,14℃
2019年05月08日,多云,22℃,13℃
2019年05月09日,晴,25℃,14℃
2019年05月10日,晴,26℃,16℃
2019年05月11日,晴,28℃,16℃
2019年05月12日,晴,28℃,17℃
2019年05月13日,中雨,20℃,17℃
2019年05月14日,多云,24℃,18℃
2019年05月15日,中雨,20℃,17℃
2019年05月16日,小雨,25℃,20℃
2019年05月17日,小雨,27℃,20℃
2019年05月18日,多云,29℃,22℃
2019年05月19日,小到中雨,26℃,20℃
2019年05月20日,小雨,23℃,14℃
2019年05月21日,晴,26℃,15℃
2019年05月22日,晴,29℃,17℃
2019年05月23日,晴,30℃,17℃
2019年05月24日,多云,29℃,21℃
2019年05月25日,小雨,28℃,22℃
2019年05月26日,中雨,25℃,23℃
2019年05月27日,小到中雨,29℃,18℃
2019年05月28日,多云,22℃,14℃
2019年05月29日,晴,27℃,14℃
2019年05月30日,小雨,28℃,20℃
2019年05月31日,小雨,25℃,17℃
2019年06月01日,小雨,24℃,19℃
2019年06月02日,多云,25℃,19℃
2019年06月03日,多云,28℃,21℃
2019年06月04日,晴,31℃,22℃
2019年06月05日,多云,32℃,24℃
2019年06月06日,多云,33℃,23℃
2019年06月07日,小雨,27℃,20℃
2019年06月08日,多云,28℃,21℃
2019年06月09日,多云,28℃,20℃
2019年06月10日,多云,31℃,22℃
2019年06月11日,多云,26℃,19℃
2019年06月12日,多云,24℃,20℃
2019年06月13日,中雨,21℃,19℃
2019年06月14日,小雨,24℃,16℃
2019年06月15日,晴,30℃,20℃
2019年06月16日,多云,32℃,21℃
2019年06月17日,小雨,27℃,21℃
2019年06月18日,中雨,25℃,23℃
2019年06月19日,中雨,27℃,21℃
2019年06月20日,小雨,26℃,23℃
2019年06月21日,大雨,24℃,21℃
2019年06月22日,多云,24℃,19℃
2019年06月23日,多云,25℃,19℃
2019年06月24日,多云,27℃,21℃
2019年06月25日,中雨,25℃,22℃
2019年06月26日,小雨,25℃,21℃
2019年06月27日,小雨,29℃,23℃
2019年06月28日,小雨,34℃,25℃
2019年06月29日,小雨,37℃,26℃
2019年06月30日,大雨,28℃,24℃
2019年07月01日,大雨,27℃,22℃
2019年07月02日,小雨,27℃,24℃
2019年07月03日,中雨,25℃,22℃
2019年07月04日,大雨,25℃,21℃
2019年07月05日,阴,27℃,21℃
2019年07月06日,多云,29℃,24℃
2019年07月07日,小雨,31℃,24℃
2019年07月08日,小雨,28℃,22℃
2019年07月09日,大雨,24℃,22℃
2019年07月10日,小雨,26℃,21℃
2019年07月11日,多云,29℃,23℃
2019年07月12日,大雨,31℃,23℃
2019年07月13日,中雨,25℃,22℃
2019年07月14日,小雨,25℃,22℃
2019年07月15日,小雨,27℃,23℃
2019年07月16日,小雨,30℃,26℃
2019年07月17日,多云,33℃,26℃
2019年07月18日,小雨,32℃,26℃
2019年07月19日,小雨,31℃,25℃
2019年07月20日,小雨,33℃,26℃
2019年07月21日,雷阵雨,33℃,26℃
2019年07月22日,多云,33℃,26℃
2019年07月23日,多云,35℃,26℃
2019年07月24日,多云,35℃,27℃
2019年07月25日,小雨,36℃,27℃
2019年07月26日,雷阵雨,36℃,28℃
2019年07月27日,雷阵雨,37℃,27℃
2019年07月28日,晴,35℃,26℃
2019年07月29日,晴,35℃,27℃
2019年07月30日,多云,35℃,27℃
2019年07月31日,多云,35℃,27℃
2019年08月01日,晴,34℃,26℃
2019年08月02日,晴,34℃,26℃
2019年08月03日,小到中雨,31℃,26℃
2019年08月04日,小雨,32℃,25℃
2019年08月05日,小雨,31℃,25℃
2019年08月06日,晴,33℃,25℃
2019年08月07日,多云,34℃,26℃
2019年08月08日,小雨,32℃,27℃
2019年08月09日,大到暴雨,29℃,26℃
2019年08月10日,暴雨到大暴雨,29℃,25℃
2019年08月11日,多云,34℃,26℃
2019年08月12日,多云,34℃,25℃
2019年08月13日,小雨,35℃,25℃
2019年08月14日,雷阵雨,34℃,25℃
2019年08月15日,晴,34℃,26℃
2019年08月16日,晴,34℃,25℃
2019年08月17日,晴,37℃,25℃
2019年08月18日,多云,34℃,25℃
2019年08月19日,小雨,31℃,24℃
2019年08月20日,小雨,31℃,24℃
2019年08月21日,晴,33℃,24℃
2019年08月22日,小到中雨,33℃,26℃
2019年08月23日,雷阵雨,33℃,25℃
2019年08月24日,雷阵雨,33℃,27℃
2019年08月25日,小雨,32℃,27℃
2019年08月26日,多云,35℃,27℃
2019年08月27日,多云,36℃,26℃
2019年08月28日,小雨,35℃,25℃
2019年08月29日,小雨,29℃,22℃
2019年08月30日,多云,29℃,22℃
2019年08月31日,小雨,28℃,21℃
